"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","9","","Add New Category: User successfully add new category","","","","Then verify user on the homepage",""
"passed","Fri Sep 01 15:13:08 ICT 2023","Fri Sep 01 15:13:08 ICT 2023","2","","Login feature: User login with invalid credential","","","","",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","8","","Add New Category: User successfully add new category","","","","When user tap button category",""
"passed","Fri Sep 01 15:13:07 ICT 2023","Fri Sep 01 15:13:07 ICT 2023","419","","Login feature: User login with invalid credential","","","","When user input invalid email samplexx@ex.xx and invalid password 123adsfadf@!",""
"passed","Fri Sep 01 15:13:08 ICT 2023","Fri Sep 01 15:13:08 ICT 2023","14","","Login feature: User login with invalid credential","","","","Then alert message displayed Kredensial yang Anda berikan salah",""
"passed","Fri Sep 01 15:13:07 ICT 2023","Fri Sep 01 15:13:07 ICT 2023","1","","Add New Category: User successfully add new category","","","","",""
"passed","Fri Sep 01 15:13:05 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","1672","","Add New Category: User successfully add new category","","","","Given user already login to the web",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","11","","Add New Category: User successfully add new category","","","","When user tap button add category",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","595","","Login feature: User login with valid credential","","","","When user input email testing@gmail.com and password Bandung5300",""
"passed","Fri Sep 01 15:13:05 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","1094","","Login feature: User login with valid credential","","","","Given user already on the login page",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","6","","Add New Category: User successfully add new category","","","","When user input category name Electronics",""
"passed","Fri Sep 01 15:13:07 ICT 2023","Fri Sep 01 15:13:07 ICT 2023","96","","Login feature: User login with invalid credential","","","","Given user already on the login page",""
"passed","Fri Sep 01 15:13:07 ICT 2023","Fri Sep 01 15:13:07 ICT 2023","31","","Login feature: User login with invalid credential","","","","Then alert message displayed must be a valid email",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","1","","Login feature: User login with valid credential","","","","",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:07 ICT 2023","21","","Add New Category: User successfully add new category","","","","When user tap save",""
"passed","Fri Sep 01 15:13:07 ICT 2023","Fri Sep 01 15:13:08 ICT 2023","345","","Login feature: User login with invalid credential","","","","When user input invalid email samplexx@ex.com and invalid password 123adsfa111",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","5","","Add New Category: User successfully add new category","","","","When user input category desc holaaaa",""
"passed","Fri Sep 01 15:13:06 ICT 2023","Fri Sep 01 15:13:06 ICT 2023","13","","Login feature: User login with valid credential","","","","Then url contain dashboard and showing title kasirAja",""
